Plan name,Feature,Price
Shared Hosting,Cost effective and fast for small businesses,$3.19/mo
VPS Hosting,For high traffic sites and larger businesses,$2.99/mo
Dedicated Hosting,For the largest sites and custom deployments,$12.99/mo
cPanel WordPress,Expertly tuned hosting with cPanel,$9.99/mo
Platform InMotion,High performance managed WordPress,$13.99/mo
